order_id,order_date,ship_date,customer_name,segment,category,sales,quantity,discount,profit,shipping_cost,order_priority
AG-2011-2040,1/1/2011,6/1/2011,Toby Braunhardt,Consumer,Office Supplies,408,2,0,106.14,35.46,Medium
IN-2011-47883,1/1/2011,8/1/2011,Joseph Holt,Consumer,Office Supplies,120,3,0.1,36.036,9.72,Medium
HU-2011-1220,1/1/2011,5/1/2011,Annie Thurman,Consumer,Office Supplies,66,4,0,29.64,8.17,High
IT-2011-3647632,1/1/2011,5/1/2011,Eugene Moren,Home Office,Office Supplies,45,3,0.5,-26.055,4.82,High
IN-2011-47883,1/1/2011,8/1/2011,Joseph Holt,Consumer,Furniture,114,5,0.1,37.77,4.7,Medium
IN-2011-47883,1/1/2011,8/1/2011,Joseph Holt,Consumer,Office Supplies,55,2,0.1,15.342,1.8,Medium
CA-2011-1510,2/1/2011,6/1/2011,Magdelene Morse,Consumer,Technology,314,1,0,3.12,24.1,Medium
IN-2011-79397,3/1/2011,3/1/2011,Kean Nguyen,Corporate,Office Supplies,276,1,0.1,110.412,125.32,Critical
ID-2011-80230,3/1/2011,9/1/2011,Ken Lonsdale,Consumer,Technology,912,4,0.4,-319.464,107.1,Low
IZ-2011-4680,3/1/2011,7/1/2011,Lindsay Williams,Corporate,Furniture,667,4,0,253.32,81.26,High
IN-2011-65159,3/1/2011,7/1/2011,Larry Blacks,Consumer,Office Supplies,338,3,0.45,-122.8005,33.75,High
IN-2011-65159,3/1/2011,7/1/2011,Larry Blacks,Consumer,Furniture,211,1,0.55,-70.3995,21.32,High
ES-2011-4869686,3/1/2011,7/1/2011,Dorothy Dickinson,Consumer,Furniture,854,7,0,290.43,12.56,Medium
IN-2011-33652,3/1/2011,9/1/2011,Dennis Pardue,Home Office,Technology,193,1,0,50.13,10.4,Medium
ID-2011-80230,3/1/2011,9/1/2011,Ken Lonsdale,Consumer,Furniture,159,2,0.4,-95.676,10.07,Low
MX-2011-160234,3/1/2011,7/1/2011,Stewart Visinsky,Consumer,Technology,195,4,0,44.88,8.43,Medium
IR-2011-770,3/1/2011,7/1/2011,Jas O'Carroll,Consumer,Office Supplies,123,2,0,42.9,8.41,Medium
ID-2011-80230,3/1/2011,9/1/2011,Ken Lonsdale,Consumer,Technology,69,2,0.4,3.42,8.34,Low
ID-2011-80230,3/1/2011,9/1/2011,Ken Lonsdale,Consumer,Furniture,69,2,0.4,-26.412,8.17,Low
ID-2011-12596,3/1/2011,8/1/2011,Chris McAfee,Consumer,Office Supplies,135,2,0.47,-45.9018,7.74,Medium
IN-2011-79397,3/1/2011,3/1/2011,Kean Nguyen,Corporate,Office Supplies,36,3,0.1,4.743,7.46,Critical
IR-2011-7690,3/1/2011,8/1/2011,Nat Gilpin,Corporate,Office Supplies,52,1,0,7.77,5.91,High
IR-2011-770,3/1/2011,7/1/2011,Jas O'Carroll,Consumer,Office Supplies,62,2,0,8.7,5.16,Medium
TZ-2011-7370,3/1/2011,8/1/2011,Jack Garza,Consumer,Office Supplies,81,4,0,26.76,5.11,Medium
IZ-2011-4680,3/1/2011,7/1/2011,Lindsay Williams,Corporate,Office Supplies,47,1,0,17.07,3.57,High
IN-2011-65159,3/1/2011,7/1/2011,Larry Blacks,Consumer,Office Supplies,6,1,0.45,0.546,0.8,High
IR-2011-770,3/1/2011,7/1/2011,Jas O'Carroll,Consumer,Office Supplies,17,1,0,4.17,0.54,Medium
MX-2011-111255,4/1/2011,9/1/2011,Russell Applegate,Consumer,Furniture,"1,648",6,0,609.84,109.13,Medium
MX-2011-140641,4/1/2011,9/1/2011,Maya Herman,Corporate,Technology,223,4,0,13.28,42.28,High
MX-2011-158771,4/1/2011,11/1/2011,Beth Thompson,Home Office,Office Supplies,186,6,0,3.6,16.39,Medium
ES-2011-4939443,4/1/2011,8/1/2011,Arthur Prichep,Consumer,Office Supplies,140,3,0,20.88,10.78,Medium
MX-2011-111255,4/1/2011,9/1/2011,Russell Applegate,Consumer,Office Supplies,149,8,0,28.16,10.38,Medium
MX-2011-140641,4/1/2011,9/1/2011,Maya Herman,Corporate,Technology,166,2,0.002,49.42824,9.54,High
US-2011-136007,4/1/2011,11/1/2011,Beth Thompson,Home Office,Office Supplies,74,6,0.6,-107.856,7.04,Medium
MX-2011-159373,4/1/2011,8/1/2011,Arthur Wiediger,Home Office,Furniture,38,1,0,6.88,4.25,Medium
MX-2011-159373,4/1/2011,8/1/2011,Arthur Wiediger,Home Office,Technology,38,2,0,2.24,3.94,Medium
MX-2011-159373,4/1/2011,8/1/2011,Arthur Wiediger,Home Office,Office Supplies,39,3,0,7.68,3.51,Medium
IT-2011-2942451,4/1/2011,9/1/2011,Grant Thornton,Corporate,Office Supplies,27,2,0.5,-21.9,2.11,Medium
